clinical_variable,feature,correlation,p_value,n_samples,significant
age,0,0.003956883121090134,0.4438345890281566,37452,False
age,1,-0.004957306833159462,0.3373886836572143,37452,False
age,2,-0.004812846000185551,0.3516563845814593,37452,False
age,3,-0.006696317551332615,0.1950177213195633,37452,False
age,4,0.008795925404464042,0.08871614667136536,37452,False
age,5,0.00019967579360450965,0.9691766078617968,37452,False
age,6,-0.00409145196483718,0.42849134900946473,37452,False
age,7,0.00090818638244894,0.8604894768757065,37452,False
age,8,-0.002575937341290539,0.6181366318530815,37452,False
age,9,0.003180898469864059,0.5381816580337793,37452,False
age,10,0.007073109667762232,0.17106294495966953,37452,False
age,11,-0.005395069512282245,0.2964601227583677,37452,False
age,12,-0.0015334979026520427,0.7666491765705096,37452,False
age,13,0.010788444732392426,0.03681345136551188,37452,True
age,14,0.0011851408365310455,0.8185992000149532,37452,False
age,15,0.00046952749808209794,0.9276019496440179,37452,False
age,16,-0.009217550660315417,0.0744550942840325,37452,False
age,17,-0.00012623499973093326,0.9805105463470362,37452,False
age,18,-0.0040367220241971915,0.43469398058395875,37452,False
age,19,0.0025559238741900015,0.6208684118184761,37452,False
age,20,-0.007669139157629361,0.13777074477910092,37452,False
age,21,-2.617762124399359e-05,0.9959580457305204,37452,False
age,22,0.006354135327331422,0.218825714213372,37452,False
age,23,0.009008315072505177,0.08127894057036313,37452,False
age,24,-0.00456242420579992,0.37727995816540116,37452,False
age,25,0.0004478972001207472,0.9309286539950816,37452,False
age,26,0.0014636436872506359,0.7769908566852408,37452,False
age,27,0.0032853716807387788,0.5249180775431388,37452,False
age,28,0.006663780172439677,0.1971963108459064,37452,False
age,29,-0.0054141242487529785,0.2947574254532991,37452,False
age,30,0.002463963570282097,0.6334875738548982,37452,False
age,31,-0.008273875069130247,0.10933767202205386,37452,False
age,32,0.0010802327202591978,0.834412853368576,37452,False
age,33,0.005776590734425548,0.26361489676951244,37452,False
age,34,-0.004660247714361124,0.36713648616048594,37452,False
age,35,0.003729886123966975,0.47041416143726245,37452,False
age,36,-0.003626603462567276,0.48279266276378147,37452,False
age,37,-0.003573746425226448,0.4891954160960759,37452,False
age,38,-0.004040769095693253,0.43423355183708373,37452,False
age,39,-0.0013303229216123339,0.7968371823976389,37452,False
age,40,-0.004700339822608413,0.3630288396748342,37452,False
age,41,-0.006261791853676876,0.22559434542624174,37452,False
age,42,-0.002654254781548286,0.6074974656944399,37452,False
age,43,-0.012899311911370764,0.012547435769007572,37452,True
age,44,-0.006642163593786192,0.19865349809274674,37452,False
age,45,-0.0051240590515287555,0.32138882224388765,37452,False
age,46,0.0004560954653084794,0.9296676290658313,37452,False
age,47,-0.006341937846594702,0.2197113144439732,37452,False
age,48,-0.004524941277609213,0.38121196842250005,37452,False
age,49,0.006441691881799732,0.21254384102251256,37452,False
age,50,-0.002053561204717451,0.6910703173360944,37452,False
age,51,-0.005387026740951489,0.29718078147934973,37452,False
age,52,0.0006798954791127649,0.8953224169618421,37452,False
age,53,0.0003741047513848951,0.9422865451484891,37452,False
age,54,-0.0004709989636594178,0.9273756859533833,37452,False
age,55,0.004318216120493847,0.40334642474511556,37452,False
age,56,-0.00930783964494165,0.07165870346216134,37452,False
age,57,0.0006098969018585311,0.9060466712422235,37452,False
age,58,-0.007707718151087813,0.13580141388988615,37452,False
age,59,-0.0013522620561943269,0.7935618699687846,37452,False
age,60,0.001303066798854991,0.8009112553923501,37452,False
age,61,0.005096555800773645,0.3239930695517467,37452,False
age,62,-0.0007083003570233807,0.8909759355832803,37452,False
age,63,0.007215022703543687,0.1626361472688975,37452,False
heart_rate,0,-0.0054108457072542145,0.2950499223715977,37452,False
heart_rate,1,0.000951091596244446,0.8539710280603052,37452,False
heart_rate,2,-0.003192524805649341,0.5366973409826877,37452,False
heart_rate,3,0.00324185278655204,0.5304226969488163,37452,False
heart_rate,4,0.0014078028738875076,0.785286515765987,37452,False
heart_rate,5,0.008805407236828919,0.08837281446665757,37452,False
heart_rate,6,-0.0012392466393738948,0.8104717153140952,37452,False
heart_rate,7,-0.00519395680428838,0.3148319842333208,37452,False
heart_rate,8,-0.003549275836085792,0.4921750357464639,37452,False
heart_rate,9,-0.0012414999248548597,0.8101336750736466,37452,False
heart_rate,10,-0.009887638325612874,0.055685351162641124,37452,False
heart_rate,11,-0.010964186298679436,0.033851242631282065,37452,True
heart_rate,12,-0.004237075855277556,0.41224048898408483,37452,False
heart_rate,13,-0.005063982939321314,0.32709508047970415,37452,False
heart_rate,14,0.0008329951162806015,0.8719357335074773,37452,False
heart_rate,15,-0.00934342573674719,0.070580454763423,37452,False
heart_rate,16,-0.00018280878733587989,0.9717791842203876,37452,False
heart_rate,17,-0.0004937334785181688,0.9238806121648243,37452,False
heart_rate,18,0.0046074106003224135,0.37259396904201175,37452,False
heart_rate,19,-0.0038753777996783944,0.45327818336421816,37452,False
heart_rate,20,-0.004191262678135091,0.41731318134182455,37452,False
heart_rate,21,0.0011849064765706509,0.8186344474279549,37452,False
heart_rate,22,-0.009153520484529323,0.0764917504974786,37452,False
heart_rate,23,-0.0022758578033588526,0.659631719228056,37452,False
heart_rate,24,-0.0027745479511264376,0.5913173232840282,37452,False
heart_rate,25,0.0035470721181217243,0.4924438446888299,37452,False
heart_rate,26,0.004767784694185777,0.35618394988239777,37452,False
heart_rate,27,0.012056293701128457,0.019637468804463324,37452,True
heart_rate,28,-0.0011745345659744829,0.8201947344747084,37452,False
heart_rate,29,-0.006863993955203934,0.18407008426400429,37452,False
heart_rate,30,-0.002218730780009895,0.6676565307156404,37452,False
heart_rate,31,-0.002611936961770253,0.6132360716452568,37452,False
heart_rate,32,0.0019044152879726013,0.7124703508643634,37452,False
heart_rate,33,0.010161989160684894,0.049230954320011,37452,True
heart_rate,34,-0.00213089723416087,0.6800689806638626,37452,False
heart_rate,35,-0.0017572426415715485,0.7338116210516804,37452,False
heart_rate,36,0.001896063956857756,0.7136755414559242,37452,False
heart_rate,37,0.004304542971806507,0.40483708140120594,37452,False
heart_rate,38,0.0016829944955107764,0.7446580082360446,37452,False
heart_rate,39,0.004088680181463436,0.4288042366679866,37452,False
heart_rate,40,0.0028682668945314927,0.5788505320124933,37452,False
heart_rate,41,0.00033013957027180517,0.9490592536321732,37452,False
heart_rate,42,-0.0026086770381134917,0.6136791322332099,37452,False
heart_rate,43,-0.0003311519714680462,0.9489032528745018,37452,False
heart_rate,44,-0.004721902385622331,0.36083158497427154,37452,False
heart_rate,45,-0.0013686207431298227,0.7911220312465617,37452,False
heart_rate,46,-0.0001837171487944246,0.9716390162886849,37452,False
heart_rate,47,-0.0036837712214114323,0.4759192996399535,37452,False
heart_rate,48,0.00511273795662448,0.3224591422085937,37452,False
heart_rate,49,-0.002362394762863197,0.6475500964281667,37452,False
heart_rate,50,-0.0037506027522814563,0.4679525303943399,37452,False
heart_rate,51,-0.004416176642931931,0.3927631714865516,37452,False
heart_rate,52,-0.0079309866829245,0.12482838535226168,37452,False
heart_rate,53,0.004674633770266872,0.3656592392136203,37452,False
heart_rate,54,-0.0002624465019517685,0.9594942018216239,37452,False
heart_rate,55,-0.002002625420372628,0.6983520945753379,37452,False
heart_rate,56,-0.006065783881646162,0.24045366688016567,37452,False
heart_rate,57,0.004347029016523424,0.40021600441037763,37452,False
heart_rate,58,-0.0017448010452081313,0.7356254926301963,37452,False
heart_rate,59,-0.0007148810212094368,0.8899694323386083,37452,False
heart_rate,60,-0.0037185018469845918,0.4717699241720141,37452,False
heart_rate,61,0.00010409462449602791,0.9839282930085439,37452,False
heart_rate,62,0.0017993275700821966,0.7276870790702225,37452,False
heart_rate,63,0.0011446222814095945,0.8246985227923848,37452,False
