feature,mi_mean,control_mean,mean_diff,mi_std,control_std,t_statistic,p_value,cohens_d,significant,p_value_bonferroni,significant_bonferroni
2,-0.40201408,-0.46715918,0.065145105,1.4099882,1.43734,2.325885179019577,0.020030442400725487,0.04575665,True,1.2819483136464311,False
56,-0.14251643,-0.08146859,-0.061047845,1.4188308,1.4152527,-2.2096869145615163,0.02713344116600843,-0.043081157,True,1.7365402346245395,False
57,-0.9729085,-1.0355041,0.062595606,1.4873153,1.4628652,2.1893669478697273,0.028576855720648286,0.042433646,True,1.8289187661214903,False
48,-0.14287251,-0.20083013,0.05795762,1.4087543,1.385629,2.1401463770883047,0.03234993143772844,0.041480087,True,2.0703956120146203,False
41,-0.33056164,-0.38545862,0.05489698,1.3879447,1.3799484,2.037332411866385,0.041624357748958785,0.039666817,True,2.663958895933362,False
39,0.0957036,0.039464634,0.056238968,1.4322379,1.4487314,1.9908724595881349,0.04650278589438803,0.039041057,True,2.9761782972408337,False
1,-0.3659132,-0.31254667,-0.05336654,1.4239203,1.4217367,-1.923003728565734,0.0544878038807208,-0.03750735,False,3.4872194483661314,False
38,-0.47298452,-0.42618302,-0.046801507,1.480796,1.442496,-1.6586829076291587,0.0971887964246806,-0.03201698,False,6.220082971179559,False
37,-0.24503046,-0.28840628,0.04337582,1.4437436,1.4438298,1.5392864844624916,0.12374354393771445,0.030043095,False,7.9195868120137245,False
58,0.6143777,0.5737478,0.040629864,1.417524,1.430001,1.4568268630788879,0.1451732803796181,0.028536694,False,9.291089944295559,False
45,0.18942288,0.22784644,-0.038423568,1.3626157,1.3555052,-1.451752704246546,0.1465794729320405,-0.028272057,False,9.381086267650591,False
24,-0.09863586,-0.05905581,-0.03958005,1.4661885,1.4435587,-1.4030037204916563,0.16062472951186085,-0.027204325,False,10.279982688759095,False
22,-0.43985015,-0.477406,0.037555844,1.3982737,1.3911716,1.3826048078696824,0.1667950241423867,0.026927019,False,10.674881545112749,False
33,0.5349837,0.4986792,0.036304504,1.3848635,1.3514599,1.3735453446248211,0.16959180063696744,0.026533267,False,10.853875240765916,False
29,0.53657556,0.4979295,0.038646042,1.481046,1.4615295,1.3533156277663363,0.17596368635028098,0.026266238,False,11.261675926417983,False
25,0.5000928,0.46284968,0.037243128,1.4769481,1.4226358,1.3370274220705798,0.18122250233697765,0.025684096,False,11.59824014956657,False
16,0.44436228,0.47995022,-0.035587937,1.3719114,1.3790247,-1.3228234342707732,0.18590287076925324,-0.025873242,False,11.897783729232208,False
8,0.13103954,0.16340889,-0.032369345,1.2918142,1.3211809,-1.25762425634801,0.20853618996969203,-0.0247741,False,13.34631615806029,False
23,-0.22031745,-0.25289378,0.032576323,1.3278278,1.342905,1.2440708147987187,0.21348195425785993,0.024394656,False,13.662845072503035,False
26,0.5566305,0.5269778,0.029652715,1.3982463,1.3652992,1.1105644582225482,0.2667636090678976,0.021458382,False,17.072870980345446,False
19,-0.0062166853,0.024211342,-0.030428026,1.4129682,1.4043521,-1.1095878622076225,0.26718439872581107,-0.021600585,False,17.09980151845191,False
32,-0.7230942,-0.69309944,-0.029994786,1.4780437,1.4679857,-1.0463136334406384,0.2954235840151141,-0.020362739,False,18.907109376967302,False
31,0.49725714,0.5262349,-0.028977782,1.4877266,1.4425722,-1.0265270641298747,0.3046504110617834,-0.01977569,False,19.49762630795414,False
63,-0.071882464,-0.098493636,0.026611172,1.4063901,1.4023081,0.9720780384972313,0.3310185425183012,0.018949095,False,21.185186721171277,False
3,1.3531936,1.3799366,-0.026742935,1.4282365,1.4214488,-0.9635872099561057,0.3352596760843902,-0.018768992,False,21.456619269400974,False
5,-0.5744319,-0.5997056,0.02527368,1.3933777,1.3920106,0.9301996511892168,0.35227423159508764,0.018147329,False,22.54555082208561,False
12,-0.9563763,-0.93240714,-0.023969173,1.3696601,1.3390592,-0.9153926811999462,0.3599919176894848,-0.01769666,False,23.039482732127027,False
61,0.621166,0.64443225,-0.023266256,1.3661549,1.395549,-0.8556958984628181,0.3921719526821037,-0.01684825,False,25.099004971654637,False
43,0.30240336,0.28070948,0.021693885,1.3692266,1.3765204,0.8078502091106035,0.4191823876398437,0.015801754,False,26.82767280895,False
15,0.68021595,0.702863,-0.022647023,1.4304634,1.439707,-0.8064053081815776,0.42001474630099556,-0.01578088,False,26.880943763263716,False
9,-0.3291465,-0.3076337,-0.021512806,1.3901327,1.4069557,-0.7842076295467865,0.43292367366492923,-0.015382008,False,27.70711511455547,False
60,-0.646442,-0.6670537,0.020611703,1.3696514,1.3547772,0.7788146120054479,0.43609427109134014,0.015130803,False,27.91003334984577,False
36,-0.46969292,-0.44847673,-0.021216184,1.4365255,1.4051561,-0.7721758860653666,0.440015551364881,-0.014931223,False,28.160995287352385,False
53,-0.5711142,-0.5922578,0.021143615,1.4783064,1.4428262,0.7492996467437713,0.4536817299938296,0.014475245,False,29.035630719605095,False
49,-0.37184882,-0.39221072,0.0203619,1.4813585,1.4885908,0.7011377347019986,0.48322179254490394,0.01371191,False,30.926194722873852,False
28,-0.3185271,-0.30057958,-0.017947525,1.3956786,1.3823357,-0.6647025894295242,0.506245180490107,-0.012920968,False,32.39969155136685,False
4,0.6893238,0.7076364,-0.018312633,1.431038,1.4121697,-0.6636900082728113,0.5068931709550317,-0.012881387,False,32.44116294112203,False
50,-0.12804735,-0.111715995,-0.016331352,1.3420795,1.3755096,-0.6095525583348349,0.54216226107263,-0.012018091,False,34.69838470864832,False
55,0.17609543,0.16120619,0.01488924,1.315336,1.3025292,0.5852141993606078,0.5584075262318737,0.011374964,False,35.73808167883992,False
42,-0.99831533,-1.0150486,0.016733289,1.5090675,1.5028665,0.5702923384343331,0.5684831506535387,0.011111301,False,36.38292164182648,False
35,0.6633978,0.6492654,0.0141323805,1.3533041,1.3654379,0.5306987563208252,0.5956309642865957,0.010396161,False,38.12038171434212,False
7,-0.1847544,-0.17163861,-0.0131157935,1.3852733,1.3812248,-0.4864184702547441,0.6266735876300606,-0.009481864,False,40.10710960832388,False
46,-0.73471934,-0.72156525,-0.013154089,1.4391042,1.4270782,-0.47194764785124405,0.6369671419454412,-0.009178741,False,40.76589708450824,False
30,0.5586082,0.57112306,-0.012514889,1.4695934,1.4374535,-0.4452515882117982,0.6561407431120014,-0.00860951,False,41.99300755916809,False
21,-0.36681676,-0.3779438,0.011127055,1.369433,1.3715413,0.41573092903342856,0.6776094922425447,0.008119049,False,43.36700750352286,False
52,-0.5171158,-0.5056837,-0.011432052,1.4141046,1.4158547,-0.4137477514996269,0.6790614241203969,-0.008079303,False,43.459931143705404,False
18,0.049469117,0.060643863,-0.011174746,1.3875219,1.4001725,-0.4092287626097147,0.6823743290481997,-0.008017113,False,43.67195705908478,False
20,0.808079,0.79780686,0.010272145,1.3816686,1.3588403,0.38678409281378356,0.6989184403058002,0.007496264,False,44.73078017957121,False
10,0.18837014,0.19776419,-0.00939405,1.3961385,1.3582025,-0.35355389652438846,0.7236753911520808,-0.0068206214,False,46.31522503373317,False
59,0.35646325,0.365349,-0.008885741,1.4299154,1.4358295,-0.3171937307733409,0.7510985262119906,-0.006201335,False,48.0703056775674,False
11,0.3395974,0.33156526,0.008032143,1.4017996,1.4290721,0.28843317494743,0.7730169092405061,0.005674415,False,49.47308219139239,False
40,0.42145947,0.4291244,-0.007664919,1.3444191,1.3685172,-0.2873908267649256,0.7738148105055875,-0.005650421,False,49.5241478723576,False
47,-0.64475083,-0.6370201,-0.0077307224,1.4674679,1.4390534,-0.2747965662469876,0.7834741819294286,-0.0053193164,False,50.14234764348343,False
17,0.4321695,0.43923312,-0.0070636272,1.3870609,1.3774849,-0.2625882289594349,0.79286954173896,-0.005110123,False,50.74365067129344,False
54,0.122613855,0.11584775,0.006766103,1.4396836,1.4160957,0.2444708826605798,0.8068676041595171,0.004738372,False,51.63952666620909,False
14,-0.13586514,-0.14098567,0.0051205307,1.314754,1.3125557,0.199858420375345,0.841592488072952,0.0038979258,False,53.861919236668925,False
6,-0.66082686,-0.6562902,-0.0045366883,1.4469471,1.3962795,-0.1659681301519188,0.8681830033636254,-0.0031907188,False,55.56371221527203,False
62,-0.17748715,-0.17408967,-0.0033974797,1.3179663,1.3142695,-0.13242090430498005,0.8946521533468277,-0.0025814376,False,57.25773781419697,False
0,0.5010094,0.49788976,0.0031196475,1.347174,1.3651967,0.11721119550626356,0.9066933776958346,0.0023002597,False,58.02837617253341,False
27,0.7985333,0.80137545,-0.0028421283,1.4013678,1.3947934,-0.10436363686733117,0.9168813853520186,-0.0020328732,False,58.68040866252919,False
13,0.12771067,0.12625465,0.0014560223,1.4646975,1.4465302,0.05151943697309465,0.9589119122455859,0.0010002612,False,61.3703623837175,False
44,0.5760745,0.57484376,0.0012307167,1.3256475,1.3150377,0.04791965997383944,0.9617805483965222,0.0009321117,False,61.55395509737742,False
51,-0.7099219,-0.71111417,0.0011922717,1.4427748,1.4159241,0.04307567113281754,0.965641462222461,0.00083409913,False,61.8010535822375,False
34,-0.26226908,-0.26221243,-5.6654215e-05,1.396586,1.3874693,-0.0020910142305600628,0.9983316253356116,-4.069884e-05,False,63.89322402147914,False
